itemtype,http_status,total_count
getFullSession,200,-
getActiveProfile,200,-
getMyProfiles,200,-
getActiveEntities,200,-
getMyEntities,200,-
getGlpiConfig,200,-
Profile,206,11
ProfileRight,206,1166
Profile_User,206,1445
User,206,1421
Group,206,99
Group_User,206,1262
Entity,206,85
Rule,206,171
RuleCriteria,206,262
RuleAction,206,297
ITILCategory,206,109
TaskCategory,200,1
RequestType,206,9
SolutionType,200,-
State,200,-
Location,206,422
Calendar,200,1
Holiday,200,-
Manufacturer,200,-
TicketTemplate,206,4
TicketTemplateMandatoryField,206,3
TicketTemplatePredefinedField,200,-
TicketTemplateHiddenField,206,15
SLM,200,-
SLA,200,-
OLA,200,-
Notification,206,85
NotificationTemplate,206,40
CronTask,206,44
Document,206,7565
DocumentType,206,73
Link,200,-
DisplayPreference,403,-
PluginFormcreatorForm,206,41
PluginFormcreatorSection,206,250
PluginFormcreatorQuestion,206,7011
PluginFormcreatorCondition,206,6598
PluginFormcreatorTargetTicket,206,242
PluginFormcreatorForm_Profile,206,52
PluginFormcreatorCategory,206,3
